example,sid,tag,old_score,is_leaf,alt_bindings,alt_refactorings,alt_dataflows,pOutputNumber,pAlternative,pWave,pAllowDataFlow,pCritical,pPercentOfBindedInputs,pPossibleDeadlock,pNumberOfBindedFunctions,pRestless,label,pNotTransferableInputs,pRestrictedTime,pWaitTime,pRefactoringType
counter.lua,-0,BindDecisionView,3052,False,5,0,0,1.0,2.0,0,0.0,False,1.0,False,0.0,0.0,0.5397416844879122,,,,
counter.lua,-0-0,BindDecisionView,4044,False,3,0,0,2.0,2.0,,0.0,True,0.0,False,1.0,0.0,0.37610124595452366,,,,
counter.lua,-0-0-0,BindDecisionView,3622,False,1,1,0,1.0,1.0,,2.0,False,1.0,False,0.0,0.0,0.3995891757719011,,,,
counter.lua,-0-0-0-0,BindDecisionView,3560,False,0,1,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.48822935611270024,,,,
counter.lua,-0-0-0-0-0,DataflowDecisionView,1994,False,0,1,0,,,,,,,,,,-0.5270142041236674,1.0,False,1.0,
counter.lua,-0-0-0-0-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,-0.5270142041236674,,,,BreakLoopView
counter.lua,-0-0-0-0-0-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-0-0-0-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-0-0-1,BreakLoopView,5000,False,0,0,1,,,,,,,,,,0.5805242252250973,,,,BreakLoopView
counter.lua,-0-0-0-0-1-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.5270142041236674,0.0,False,1.0,
counter.lua,-0-0-0-0-1-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-0-0-1-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-0-0-1-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-0-0-0-0-1-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-0-0-0-1-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-0-0-1,DataflowDecisionView,1994,False,1,1,0,,,,,,,,,,-0.5546117635590815,1.0,False,1.0,
counter.lua,-0-0-0-1-0,BindDecisionView,3560,False,0,1,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,-0.5270142041236674,,,,
counter.lua,-0-0-0-1-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,-0.5270142041236674,,,,BreakLoopView
counter.lua,-0-0-0-1-0-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-0-1-0-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-0-1-1,BreakLoopView,5000,False,1,0,0,,,,,,,,,,-0.5684105432767886,,,,BreakLoopView
counter.lua,-0-0-0-1-1-0,BindDecisionView,3548,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,3.0,-0.5270142041236674,,,,
counter.lua,-0-0-0-1-1-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-0-1-1-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-0-1-1-1,DataflowDecisionView,1992,False,1,0,0,,,,,,,,,,-0.7339958998892735,1.0,False,3.0,
counter.lua,-0-0-0-1-1-1-0,BindDecisionView,3560,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,-0.7339958998892735,,,,
counter.lua,-0-0-0-1-1-1-0-0,DataflowDecisionView,1996,False,0,0,0,,,,,,,,,,-0.7339958998892735,0.0,False,4.0,
counter.lua,-0-0-0-1-1-1-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.7339958998892735,0.0,False,6.0,
counter.lua,-0-0-0-2,BreakLoopView,5000,False,1,0,1,,,,,,,,,,0.4145492916198768,,,,BreakLoopView
counter.lua,-0-0-0-2-0,BindDecisionView,3556,False,0,0,2,0.0,1.0,0.0,1.0,False,1.0,False,0.0,1.0,0.5805242252250973,,,,
counter.lua,-0-0-0-2-0-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.5270142041236674,0.0,False,1.0,
counter.lua,-0-0-0-2-0-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-0-2-0-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-0-2-0-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-0-0-0-2-0-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-0-0-2-0-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-0-0-2-1,DataflowDecisionView,1999,False,1,0,1,,,,,,,,,,-0.5684105432767886,0.0,False,1.0,
counter.lua,-0-0-0-2-1-0,BindDecisionView,3548,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,3.0,-0.5270142041236674,,,,
counter.lua,-0-0-0-2-1-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-0-2-1-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-0-2-1-1,DataflowDecisionView,1992,False,1,0,0,,,,,,,,,,-0.7339958998892735,1.0,False,3.0,
counter.lua,-0-0-0-2-1-1-0,BindDecisionView,3560,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,-0.7339958998892735,,,,
counter.lua,-0-0-0-2-1-1-0-0,DataflowDecisionView,1996,False,0,0,0,,,,,,,,,,-0.7339958998892735,0.0,False,4.0,
counter.lua,-0-0-0-2-1-1-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.7339958998892735,0.0,False,6.0,
counter.lua,-0-0-0-2-2,DataflowDecisionView,1999,False,1,0,1,,,,,,,,,,0.28124766034709414,0.0,False,1.0,
counter.lua,-0-0-0-2-2-0,BindDecisionView,3560,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.09665792212230001,,,,
counter.lua,-0-0-0-2-2-0-0,DataflowDecisionView,1993,False,0,0,1,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-0-0-0-2-2-0-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-0-0-0-2-2-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-0-0-0-2-2-0-1,DataflowDecisionView,1997,False,0,0,1,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-0-0-0-2-2-0-1-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-0-0-0-2-2-0-1-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-0-0-0-2-2-1,DataflowDecisionView,1993,False,1,0,0,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-0-0-0-2-2-1-0,BindDecisionView,3560,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.6504271367966824,,,,
counter.lua,-0-0-0-2-2-1-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-0-0-0-2-2-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-0-0-1,BindDecisionView,3610,False,1,1,0,0.0,1.0,,1.0,False,1.0,False,0.0,0.0,0.35909445475389146,,,,
counter.lua,-0-0-1-0,BindDecisionView,3622,False,0,1,0,1.0,1.0,,2.0,False,1.0,False,0.0,0.0,0.48822935611270024,,,,
counter.lua,-0-0-1-0-0,DataflowDecisionView,1994,False,0,1,0,,,,,,,,,,-0.5270142041236674,1.0,False,1.0,
counter.lua,-0-0-1-0-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,-0.5270142041236674,,,,BreakLoopView
counter.lua,-0-0-1-0-0-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-1-0-0-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-1-0-1,BreakLoopView,5000,False,0,0,1,,,,,,,,,,0.5805242252250973,,,,BreakLoopView
counter.lua,-0-0-1-0-1-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.5270142041236674,0.0,False,1.0,
counter.lua,-0-0-1-0-1-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-1-0-1-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-1-0-1-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-0-0-1-0-1-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-0-1-0-1-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-0-1-1,BreakLoopView,5000,False,1,0,0,,,,,,,,,,0.26224327873478487,,,,BreakLoopView
counter.lua,-0-0-1-1-0,BindDecisionView,3568,False,0,0,1,1.0,1.0,0.0,2.0,False,1.0,False,0.0,1.0,0.5805242252250973,,,,
counter.lua,-0-0-1-1-0-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.5270142041236674,0.0,False,1.0,
counter.lua,-0-0-1-1-0-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-1-1-0-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-1-1-0-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-0-0-1-1-0-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-0-1-1-0-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-0-1-1-1,DataflowDecisionView,1999,False,1,0,0,,,,,,,,,,-1.0108805072264646,0.0,False,1.0,
counter.lua,-0-0-1-1-1-0,BindDecisionView,3572,False,0,0,0,1.0,1.0,0.0,2.0,False,1.0,False,0.0,0.0,-1.0108805072264646,,,,
counter.lua,-0-0-1-1-1-0-0,DataflowDecisionView,1998,False,0,0,1,,,,,,,,,,-0.7339958998892735,0.0,False,2.0,
counter.lua,-0-0-1-1-1-0-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.7339958998892735,1.0,False,3.0,
counter.lua,-0-0-1-1-1-0-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.7339958998892735,0.0,False,6.0,
counter.lua,-0-0-1-1-1-0-1,DataflowDecisionView,1997,False,0,0,1,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-0-0-1-1-1-0-1-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-0-0-1-1-1-0-1-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-0-0-2,BreakLoopView,5000,False,2,0,0,,,,,,,,,,0.35916528693438876,,,,BreakLoopView
counter.lua,-0-0-2-0,BindDecisionView,3572,False,1,0,0,1.0,1.0,0.0,2.0,False,1.0,False,0.0,0.0,0.4145492916198768,,,,
counter.lua,-0-0-2-0-0,BindDecisionView,3556,False,0,0,2,0.0,1.0,0.0,1.0,False,1.0,False,0.0,1.0,0.5805242252250973,,,,
counter.lua,-0-0-2-0-0-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.5270142041236674,0.0,False,1.0,
counter.lua,-0-0-2-0-0-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-2-0-0-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-2-0-0-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-0-0-2-0-0-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-0-2-0-0-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-0-2-0-1,DataflowDecisionView,1999,False,1,0,1,,,,,,,,,,-0.5684105432767886,0.0,False,1.0,
counter.lua,-0-0-2-0-1-0,BindDecisionView,3548,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,3.0,-0.5270142041236674,,,,
counter.lua,-0-0-2-0-1-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-2-0-1-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-2-0-1-1,DataflowDecisionView,1992,False,1,0,0,,,,,,,,,,-0.7339958998892735,1.0,False,3.0,
counter.lua,-0-0-2-0-1-1-0,BindDecisionView,3560,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,-0.7339958998892735,,,,
counter.lua,-0-0-2-0-1-1-0-0,DataflowDecisionView,1996,False,0,0,0,,,,,,,,,,-0.7339958998892735,0.0,False,4.0,
counter.lua,-0-0-2-0-1-1-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.7339958998892735,0.0,False,6.0,
counter.lua,-0-0-2-0-2,DataflowDecisionView,1999,False,1,0,1,,,,,,,,,,0.28124766034709414,0.0,False,1.0,
counter.lua,-0-0-2-0-2-0,BindDecisionView,3560,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.09665792212230001,,,,
counter.lua,-0-0-2-0-2-0-0,DataflowDecisionView,1993,False,0,0,1,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-0-0-2-0-2-0-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-0-0-2-0-2-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-0-0-2-0-2-0-1,DataflowDecisionView,1997,False,0,0,1,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-0-0-2-0-2-0-1-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-0-0-2-0-2-0-1-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-0-0-2-0-2-1,DataflowDecisionView,1993,False,1,0,0,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-0-0-2-0-2-1-0,BindDecisionView,3560,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.6504271367966824,,,,
counter.lua,-0-0-2-0-2-1-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-0-0-2-0-2-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-0-0-2-1,BindDecisionView,3560,False,1,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.26224327873478487,,,,
counter.lua,-0-0-2-1-0,BindDecisionView,3568,False,0,0,1,1.0,1.0,0.0,2.0,False,1.0,False,0.0,1.0,0.5805242252250973,,,,
counter.lua,-0-0-2-1-0-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.5270142041236674,0.0,False,1.0,
counter.lua,-0-0-2-1-0-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-2-1-0-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-2-1-0-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-0-0-2-1-0-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-0-2-1-0-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-0-2-1-1,DataflowDecisionView,1999,False,1,0,0,,,,,,,,,,-1.0108805072264646,0.0,False,1.0,
counter.lua,-0-0-2-1-1-0,BindDecisionView,3572,False,0,0,0,1.0,1.0,0.0,2.0,False,1.0,False,0.0,0.0,-1.0108805072264646,,,,
counter.lua,-0-0-2-1-1-0-0,DataflowDecisionView,1998,False,0,0,1,,,,,,,,,,-0.7339958998892735,0.0,False,2.0,
counter.lua,-0-0-2-1-1-0-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.7339958998892735,1.0,False,3.0,
counter.lua,-0-0-2-1-1-0-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.7339958998892735,0.0,False,6.0,
counter.lua,-0-0-2-1-1-0-1,DataflowDecisionView,1997,False,0,0,1,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-0-0-2-1-1-0-1-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-0-0-2-1-1-0-1-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-0-1,BindDecisionView,4054,False,3,0,0,2.0,2.0,,0.0,True,0.0,False,0.0,0.0,0.6440540917647086,,,,
counter.lua,-0-1-0,BindDecisionView,3622,False,1,1,0,1.0,1.0,,2.0,False,1.0,False,0.0,0.0,0.7403702309561364,,,,
counter.lua,-0-1-0-0,BindDecisionView,3560,False,0,1,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.8574088325622885,,,,
counter.lua,-0-1-0-0-0,DataflowDecisionView,1994,False,0,1,0,,,,,,,,,,0.8574088325622885,1.0,False,1.0,
counter.lua,-0-1-0-0-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,0.8574088325622885,,,,BreakLoopView
counter.lua,-0-1-0-0-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-1-0-0-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-1-0-0-1,BreakLoopView,5000,False,0,0,1,,,,,,,,,,0.8574088325622885,,,,BreakLoopView
counter.lua,-0-1-0-0-1-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-0-1-0-0-1-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-1-0-0-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-1-0-0-1-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-0-1-0-0-1-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-1-0-0-1-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-1-0-1,DataflowDecisionView,1994,False,1,1,0,,,,,,,,,,0.8298112731268743,1.0,False,1.0,
counter.lua,-0-1-0-1-0,BindDecisionView,3560,False,0,1,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.8574088325622885,,,,
counter.lua,-0-1-0-1-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,0.8574088325622885,,,,BreakLoopView
counter.lua,-0-1-0-1-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-1-0-1-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-1-0-1-1,BreakLoopView,5000,False,1,0,0,,,,,,,,,,0.8160124934091673,,,,BreakLoopView
counter.lua,-0-1-0-1-1-0,BindDecisionView,3552,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,2.0,0.8574088325622885,,,,
counter.lua,-0-1-0-1-1-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-1-0-1-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-1-0-1-1-1,DataflowDecisionView,1993,False,1,0,0,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-0-1-0-1-1-1-0,BindDecisionView,3560,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.6504271367966824,,,,
counter.lua,-0-1-0-1-1-1-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-0-1-0-1-1-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-0-1-0-2,BreakLoopView,5000,False,1,0,1,,,,,,,,,,0.651878955051755,,,,BreakLoopView
counter.lua,-0-1-0-2-0,BindDecisionView,3556,False,0,0,2,0.0,1.0,0.0,1.0,False,1.0,False,0.0,1.0,0.8574088325622885,,,,
counter.lua,-0-1-0-2-0-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-0-1-0-2-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-1-0-2-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-1-0-2-0-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-0-1-0-2-0-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-1-0-2-0-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-1-0-2-1,DataflowDecisionView,1999,False,1,0,1,,,,,,,,,,0.8160124934091673,0.0,False,1.0,
counter.lua,-0-1-0-2-1-0,BindDecisionView,3552,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,2.0,0.8574088325622885,,,,
counter.lua,-0-1-0-2-1-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-1-0-2-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-1-0-2-1-1,DataflowDecisionView,1993,False,1,0,0,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-0-1-0-2-1-1-0,BindDecisionView,3560,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.6504271367966824,,,,
counter.lua,-0-1-0-2-1-1-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-0-1-0-2-1-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-0-1-0-2-2,DataflowDecisionView,1999,False,1,0,1,,,,,,,,,,0.28124766034709414,0.0,False,1.0,
counter.lua,-0-1-0-2-2-0,BindDecisionView,3560,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.09665792212230001,,,,
counter.lua,-0-1-0-2-2-0-0,DataflowDecisionView,1993,False,0,0,1,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-0-1-0-2-2-0-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-0-1-0-2-2-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-0-1-0-2-2-0-1,DataflowDecisionView,1997,False,0,0,1,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-0-1-0-2-2-0-1-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-0-1-0-2-2-0-1-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-0-1-0-2-2-1,DataflowDecisionView,1993,False,1,0,0,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-0-1-0-2-2-1-0,BindDecisionView,3560,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.6504271367966824,,,,
counter.lua,-0-1-0-2-2-1-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-0-1-0-2-2-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-0-1-1,BindDecisionView,3610,False,1,1,0,0.0,1.0,,1.0,False,1.0,False,0.0,0.0,0.5964241181857696,,,,
counter.lua,-0-1-1-0,BindDecisionView,3622,False,0,1,0,1.0,1.0,,2.0,False,1.0,False,0.0,0.0,0.8574088325622885,,,,
counter.lua,-0-1-1-0-0,DataflowDecisionView,1994,False,0,1,0,,,,,,,,,,0.8574088325622885,1.0,False,1.0,
counter.lua,-0-1-1-0-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,0.8574088325622885,,,,BreakLoopView
